date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:06	1366043/1366043	---M-Z	200	added ('OK')	text/html	etag:%22dacd6ad4bb4c23ecc0ec0742c110691d%22	https://travelnest.com/	C:/Users/Pauykasia/Desktop/hdd/coach/travelnest.com/index.html	(from )
15:39:06	87/87	---M-Z	200	added ('OK')	text/plain	etag:%227169aab638a7bc5a86d2135990bfa334%22	https://travelnest.com/robots.txt		(from )
15:39:13	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2019%20Apr%202023%2013:39:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Pauykasia/Desktop/hdd/coach/www.googletagmanager.com/gtm.05445.delayed	(from https://travelnest.com/)
15:39:20	1625709/1625709	---M-Z	200	added ('OK')	text/html	etag:%22524c23c86ea7c256fca4aceb7c907e6d%22	https://travelnest.com/how-it-works	C:/Users/Pauykasia/Desktop/hdd/coach/travelnest.com/how-it-works.html	(from https://travelnest.com/)
15:39:23	1294593/1294593	---M-Z	200	added ('OK')	text/html	etag:%224b445bfb9a964d794abcf15baf9db1b3%22	https://travelnest.com/pricing	C:/Users/Pauykasia/Desktop/hdd/coach/travelnest.com/pricing.html	(from https://travelnest.com/)
15:39:35	1920064/1920064	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Apr%202023%2013:39:25%20GMT	https://framerusercontent.com/images/bMM8bAAT0PgX4hJF74WZK4cht04.png	C:/Users/Pauykasia/Desktop/hdd/coach/framerusercontent.com/images/bMM8bAAT0PgX4hJF74WZK4cht04.png	(from https://travelnest.com/)
15:39:37	700290/700290	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Apr%202023%2013:39:34%20GMT	https://framerusercontent.com/images/Q36a5xqZXtDLctXQaqnarqeBJY.png	C:/Users/Pauykasia/Desktop/hdd/coach/framerusercontent.com/images/Q36a5xqZXtDLctXQaqnarqeBJY.png	(from https://travelnest.com/)
15:39:38	27986/27986	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Apr%202023%2013:39:36%20GMT	https://framerusercontent.com/images/pEuvU9j2YWfLp5anVFjyI3l0I4.png	C:/Users/Pauykasia/Desktop/hdd/coach/framerusercontent.com/images/pEuvU9j2YWfLp5anVFjyI3l0I4.png	(from https://travelnest.com/)
15:39:40	539158/539158	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Apr%202023%2013:39:37%20GMT	https://framerusercontent.com/images/BW4FweKMmFM3GLEqI5FXN5ksSE.png	C:/Users/Pauykasia/Desktop/hdd/coach/framerusercontent.com/images/BW4FweKMmFM3GLEqI5FXN5ksSE.png	(from https://travelnest.com/)
15:39:43	107100/107100	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Apr%202023%2013:39:38%20GMT	https://framerusercontent.com/images/W0iRTEKOFehCv2MH90LGIris.png	C:/Users/Pauykasia/Desktop/hdd/coach/framerusercontent.com/images/W0iRTEKOFehCv2MH90LGIris.png	(from https://travelnest.com/)
15:39:43	601674/601674	---M-Z	200	added ('OK')	text/html	etag:%22f57f32628055b1885d5129d8bcc296a9%22	https://travelnest.com/features/direct	C:/Users/Pauykasia/Desktop/hdd/coach/travelnest.com/features/direct.html	(from https://travelnest.com/)
15:39:47	397298/397298	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Apr%202023%2013:39:42%20GMT	https://framerusercontent.com/images/JLuWNa3kIi8WzECT4AKYOwlc.png	C:/Users/Pauykasia/Desktop/hdd/coach/framerusercontent.com/images/JLuWNa3kIi8WzECT4AKYOwlc.png	(from https://travelnest.com/)
15:39:49	518231/518231	---M-Z	200	added ('OK')	text/html	etag:%2232a628af011816dd6947b13d5510d56f%22	https://travelnest.com/features/management-dashboard	C:/Users/Pauykasia/Desktop/hdd/coach/travelnest.com/features/management-dashboard.html	(from https://travelnest.com/)
15:39:57	734569/734569	---M-Z	200	added ('OK')	text/html	etag:%229af6bbc9ba3232db5aa66abfd136cf98%22	https://travelnest.com/features/calendar-sync	C:/Users/Pauykasia/Desktop/hdd/coach/travelnest.com/features/calendar-sync.html	(from https://travelnest.com/)
15:40:00	541210/541210	---M-Z	200	added ('OK')	text/html	etag:%220dc250434a74f1fd76cfbf3b861317c8%22	https://travelnest.com/features/global-exposure	C:/Users/Pauykasia/Desktop/hdd/coach/travelnest.com/features/global-exposure.html	(from https://travelnest.com/)
